term,CRN,subject,course,title,cross listed,linked(labs),credit value,actual,max seating,start date,end date,start time,end time,days,building,room,faculty
201410,10014,ACCT,2242.1C,Introductory Managerial Acct,,,3.00,53 ,60 , 4-Sep-2013, 17-Dec-13,1400,1700,T,HC,FH,Jeffrey Power
201420,20006,ACCT,2242.2A,Introductory Managerial Acct,,,3.00,58 ,60 , 6-Jan-2014, 26-Apr-14,0830,0945,MW,LA,173,Vijayalakshmi Ramesh
201420,20007,ACCT,2242.2B,Introductory Managerial Acct,,,3.00,60 ,60 , 6-Jan-2014, 26-Apr-14,1000,1115,MW,SB,265,Lesley Tregunno
201420,20008,ACCT,2242.2C,Introductory Managerial Acct,,,3.00,62 ,60 , 6-Jan-2014, 26-Apr-14,1130,1245,MW,LA,297,Lesley Tregunno
201420,24274,ACCT,2242.2CR,Introductory Managerial Acct,,,3.00,15 ,20 , 6-Jan-2014, 26-Apr-14,1630,1915,R,RA,,Jeffrey Power
201420,20009,ACCT,2242.2D,Introductory Managerial Acct,,,3.00,62 ,60 , 6-Jan-2014, 26-Apr-14,1730,2015,W,SB,265,Alfred MacPherson
201420,20010,ACCT,2242.2E,Introductory Managerial Acct,,,3.00,61 ,60 , 6-Jan-2014, 26-Apr-14,1000,1115,TR,LA,296,James Power
201420,20011,ACCT,2242.2F,Introductory Managerial Acct,,,3.00,61 ,60 , 6-Jan-2014, 26-Apr-14,1600,1715,TR,LA,174,Andrew Henrikson
201420,20012,ACCT,2242.2G,Introductory Managerial Acct,,,3.00,63 ,60 , 6-Jan-2014, 26-Apr-14,1130,1245,TR,SB,260,Scott Laing
201420,20873,ACCT,2242.2WT,Introductory Managerial Acct,,,3.00,19 ,18 , 6-Jan-2014, 26-Apr-14,1730,2030,M,WT,,Shirley Carras
201410,10016,ACCT,3323.1A,Management Information Systems,,,3.00,50 ,55 , 4-Sep-2013, 17-Dec-13,1400,1700,F,LA,290,Glenn MacDougall
201410,10017,ACCT,3323.1B,Management Information Systems,,,3.00,27 ,55 , 4-Sep-2013, 17-Dec-13,0830,0945,TR,LA,281,David Bateman
201410,10018,ACCT,3323.1C,Management Information Systems,,,3.00,53 ,55 , 4-Sep-2013, 17-Dec-13,1400,1700,F,LA,290,Glenn MacDougall
201420,20014,ACCT,3323.2A,Management Information Systems,,,3.00,43 ,50 , 6-Jan-2014, 26-Apr-14,1130,1245,MW,LA,171,David Bateman
201420,20015,ACCT,3323.2B,Management Information Systems,,,3.00,43 ,50 , 6-Jan-2014, 26-Apr-14,1430,1545,MW,LA,281,David Bateman
201410,10020,ACCT,3332.1A,Planning and Control,,,3.00,51 ,60 , 4-Sep-2013, 17-Dec-13,1400,1700,M,LA,170,Robert Farmer
201420,20016,ACCT,3332.2A,Planning and Control,,,3.00,55 ,60 , 6-Jan-2014, 26-Apr-14,0830,0945,MW,LA,171,Robert Farmer
201420,20017,ACCT,3332.2B,Planning and Control,,,3.00,26 ,60 , 6-Jan-2014, 26-Apr-14,1730,1845,TR,LA,188,Jane Farrell
201410,10021,ACCT,3333.1A,Cost Mgmt: Measurement Sys,,,3.00,31 ,55 , 4-Sep-2013, 17-Dec-13,1430,1545,TR,LA,181,Ray Edmonds
201410,10022,ACCT,3333.1B,Cost Mgmt: Measurement Sys,,,3.00,46 ,55 , 4-Sep-2013, 17-Dec-13,1600,1715,MW,LA,175,Daphne Rixon
201410,11986,ACCT,3333.1C,Cost Mgmt: Measurement Sys,,,3.00,53 ,55 , 4-Sep-2013, 17-Dec-13,1130,1245,MW,LA,173,Daphne Rixon
201420,20018,ACCT,3333.2,Cost Mgmt: Measurement Sys,,,3.00,48 ,50 , 6-Jan-2014, 26-Apr-14,1600,1715,MW,LA,173,Jeffrey Healy
201410,10023,ACCT,3334.1,Cost Mgmt: Systems Evaluation,,,3.00,49 ,55 , 4-Sep-2013, 17-Dec-13,0900,1200,W,HC,FH,Donald Dougherty
201420,20019,ACCT,3334.2A,Cost Mgmt: Systems Evaluation,,,3.00,34 ,50 , 6-Jan-2014, 26-Apr-14,1430,1545,TR,SB,260,Rhonda Bursey
201420,20020,ACCT,3334.2B,Cost Mgmt: Systems Evaluation,,,3.00,30 ,50 , 6-Jan-2014, 26-Apr-14,1600,1715,TR,LA,181,Rhonda Bursey
201420,23555,ACCT,3334.2C,Cost Mgmt: Systems Evaluation,,,3.00,49 ,50 , 6-Jan-2014, 26-Apr-14,1130,1245,MW,LA,188,David Chipp
201410,10024,ACCT,3341.1A,Intermed Financial Acct I,,C4,3.00,22 ,40 , 4-Sep-2013, 17-Dec-13,0830,0945,TR,LA,181,Angus Bonnyman
201410,10026,ACCT,3341.1B,Intermed Financial Acct I,,C1,3.00,39 ,40 , 4-Sep-2013, 17-Dec-13,1130,1245,TR,MM,223,Heather Sceles
201410,12137,ACCT,3341.1C,Intermed Financial Acct I,,C1,3.00,34 ,40 , 4-Sep-2013, 17-Dec-13,1600,1715,MW,LA,187,Heather Sceles
201410,13753,ACCT,3341.1D,Intermed Financial Acct I,,C4,3.00,29 ,40 , 4-Sep-2013, 17-Dec-13,1730,1845,MW,LA,281,Angus Bonnyman
201410,10025,ACCT,3341.1LA,LAB Intermed Financial Acct I,,L4,0.00,21 ,40 , 4-Sep-2013, 17-Dec-13,1130,1245,F,LA,170,Angus Bonnyman
201410,10027,ACCT,3341.1LB,LAB Intermed Financial Acct I,,L1,0.00,40 ,40 , 4-Sep-2013, 17-Dec-13,1130,1245,F,LA,296,Heather Sceles
201410,12138,ACCT,3341.1LC,LAB Intermed Financial Acct I,,L1,0.00,33 ,40 , 4-Sep-2013, 17-Dec-13,1130,1245,F,LA,170,Heather Sceles
201410,13754,ACCT,3341.1LD,LAB Intermed Financial Acct I,,L4,0.00,30 ,40 , 4-Sep-2013, 17-Dec-13,1900,2015,W,LA,281,Angus Bonnyman
201420,20021,ACCT,3341.2A,Intermed Financial ACCT I,,C1,3.00,38 ,40 , 6-Jan-2014, 26-Apr-14,1600,1715,TR,SB,260,Donald Dougherty
201420,22483,ACCT,3341.2B,Intermed Financial ACCT I,,C1,3.00,43 ,40 , 6-Jan-2014, 26-Apr-14,1430,1545,TR,LA,281,Donald Dougherty
201420,20022,ACCT,3341.2LA,LAB: Intermed Financial ACCT I,,L1,0.00,38 ,40 , 6-Jan-2014, 26-Apr-14,1730,1845,T,SB,255,Donald Dougherty
201420,22484,ACCT,3341.2LB,LAB: Intermed Financial ACCT I,,L1,0.00,43 ,40 , 6-Jan-2014, 26-Apr-14,1730,1845,T,SB,255,Donald Dougherty
201410,10028,ACCT,3342.1A,Intermediate Fin Accounting II,,C1,3.00,29 ,40 , 4-Sep-2013, 17-Dec-13,1730,1845,MW,LA,174,Donald Dougherty
201410,13840,ACCT,3342.1B,Intermediate Fin Accounting II,,C1,3.00,31 ,40 , 4-Sep-2013, 17-Dec-13,1600,1715,TR,LA,188,Donna Bourque
201410,10029,ACCT,3342.1LA,LAB A Intermediate Fin Acct II,,L1,0.00,30 ,40 , 4-Sep-2013, 17-Dec-13,1900,2015,W,LA,174,Donald Dougherty
201410,13841,ACCT,3342.1LB,LAB B Intermediate Fin Acct II,,L1,0.00,30 ,40 , 4-Sep-2013, 17-Dec-13,1000,1115,F,SB,260,Donna Bourque
201420,20023,ACCT,3342.2A,Intermediate Fin Accounting II,,C1,3.00,28 ,40 , 6-Jan-2014, 26-Apr-14,0830,0945,TR,LA,281,Angus Bonnyman
201420,20025,ACCT,3342.2B,Intermediate Fin Accounting II,,C1,3.00,40 ,40 , 6-Jan-2014, 26-Apr-14,1130,1245,TR,LA,188,Angus Bonnyman
201420,23556,ACCT,3342.2C,Intermediate Fin Accounting II,,C1,3.00,39 ,40 , 6-Jan-2014, 26-Apr-14,1730,1845,MW,LA,188,Donna Bourque
201420,20024,ACCT,3342.2LA,LAB Intermediate Fin Acct II,,L1,0.00,33 ,40 , 6-Jan-2014, 26-Apr-14,1130,1245,F,SB,255,Angus Bonnyman
201420,20026,ACCT,3342.2LB,LAB Intermediate Fin Acct II,,L1,0.00,35 ,40 , 6-Jan-2014, 26-Apr-14,1130,1245,F,SB,255,Angus Bonnyman
201420,23557,ACCT,3342.2LC,LAB Intermediate Fin Acct II,,L1,0.00,39 ,40 , 6-Jan-2014, 26-Apr-14,1900,2015,W,LA,188,Donna Bourque
201410,10030,ACCT,3343.1,Financial Accounting Analysis,,,3.00,51 ,55 , 4-Sep-2013, 17-Dec-13,1130,1245,MW,LA,296,Laurie B Sinclair
201420,20027,ACCT,3343.2A,Financial Accounting Analysis,,,3.00,54 ,55 , 6-Jan-2014, 26-Apr-14,1130,1245,TR,LA,171,Laurie B Sinclair
201420,20028,ACCT,3343.2B,Financial Accounting Analysis,,,3.00,57 ,55 , 6-Jan-2014, 26-Apr-14,1430,1545,TR,SB,265,Laurie B Sinclair
201410,10031,ACCT,3345.1A,Financial Accounting Theory,,,3.00,30 ,45 , 4-Sep-2013, 17-Dec-13,0900,1200,R,LA,170,Charles Baxter
201410,13744,ACCT,3345.1B,Financial Accounting Theory,,,3.00,43 ,45 , 4-Sep-2013, 17-Dec-13,0900,1200,R,LA,170,Grace Chitate
201420,20029,ACCT,3345.2A,Financial Accounting Theory,,,3.00,44 ,45 , 6-Jan-2014, 26-Apr-14,1000,1115,TR,SB,260,Hong Fan
201420,20030,ACCT,3345.2B,Financial Accounting Theory,,,3.00,34 ,45 , 6-Jan-2014, 26-Apr-14,1430,1545,TR,LA,175,Hong Fan
201410,10032,ACCT,3357.1,International Accounting,,,3.00,48 ,55 , 4-Sep-2013, 17-Dec-13,0830,0945,TR,LA,173,Peter Secord
201420,20031,ACCT,3357.2,International Accounting,,,3.00,40 ,55 , 6-Jan-2014, 26-Apr-14,0830,0945,TR,LA,188,Peter Secord
201420,22741,ACCT,4423.2,Acc Info Systems/Controls,,C1,3.00,7 ,30 , 6-Jan-2014, 26-Apr-14,1000,1115,TR,LA,276,Robert Farmer
201420,22742,ACCT,4423.2L,LAB: Acc Info Systems/Controls,,L1,0.00,7 ,30 , 6-Jan-2014, 26-Apr-14,1300,1415,F,LA,188,Robert Farmer
201410,11859,ACCT,4443.1A,Adv. Fin. Acc: Corporate Acc.,,C1,3.00,13 ,40 , 4-Sep-2013, 17-Dec-13,0900,1200,M,SB,160,Peter Secord
201410,13207,ACCT,4443.1B,Adv. Fin. Acc: Corporate Acc.,,C1,3.00,34 ,40 , 4-Sep-2013, 17-Dec-13,0900,1200,M,SB,160,Peter Secord
201410,11860,ACCT,4443.1LA,LAB A: Advanced Fin Acc,,L1,0.00,15 ,40 , 4-Sep-2013, 17-Dec-13,1000,1115,F,AT,216,Peter Secord
201410,13208,ACCT,4443.1LB,LAB B: Advanced Fin Acc,,L1,0.00,32 ,40 , 4-Sep-2013, 17-Dec-13,1130,1245,F,AT,216,Peter Secord
201420,22112,ACCT,4443.2,Adv. Fin. Acc: Corporate Acc.,,C1,3.00,17 ,40 , 6-Jan-2014, 26-Apr-14,1430,1545,TR,LA,174,Peter Secord
201420,22485,ACCT,4443.2L,LAB:Adv Fin Acc- Corporate Acc,,L1,0.00,17 ,40 , 6-Jan-2014, 26-Apr-14,1000,1115,F,AT,216,Peter Secord
201410,14614,ACCT,4444.1,Advanced Fin Acc- Spec Topics,,,3.00,17 ,40 , 4-Sep-2013, 17-Dec-13,1400,1700,M,B,207,Nicola Young
201420,21844,ACCT,4444.2,Advanced Fin Acc- Spec Topics,,,3.00,28 ,35 , 6-Jan-2014, 26-Apr-14,1600,1715,TR,LA,271,Nicola Young
201410,10035,ACCT,4445.1,Financial Statement Analysis,,,3.00,32 ,40 , 4-Sep-2013, 17-Dec-13,0900,1200,S,LA,173,Angus Bonnyman
201420,23824,ACCT,4445.2,Financial Statement Analysis,,,3.00,33 ,45 , 6-Jan-2014, 26-Apr-14,1130,1245,MW,LA,273,Angus Bonnyman
201410,10037,ACCT,4450.1A,Auditing,,,3.00,31 ,40 , 4-Sep-2013, 17-Dec-13,0900,1200,W,AT,101,Natalia Kochetova-Kozloski
201410,14319,ACCT,4450.1B,Auditing,,,3.00,37 ,40 , 4-Sep-2013, 17-Dec-13,0900,1200,W,AT,101,Natalia Kochetova-Kozloski
201420,20035,ACCT,4450.2,Auditing,,,3.00,26 ,40 , 6-Jan-2014, 26-Apr-14,1730,1845,MW,LA,174,Natalia Kochetova-Kozloski
201410,10038,ACCT,4453.1A,Taxation Part I,,,3.00,52 ,50 , 4-Sep-2013, 17-Dec-13,1000,1115,TR,LA,174,Karen Touche Lightstone
201410,14320,ACCT,4453.1B,Taxation Part I,,,3.00,23 ,60 , 4-Sep-2013, 17-Dec-13,0900,1200,T,LA,174,F Barry Gorman
201420,22394,ACCT,4453.2,Taxation Part I,,,3.00,33 ,40 , 6-Jan-2014, 26-Apr-14,0830,0945,MW,LA,297,Karen Touche Lightstone
201410,14567,ACCT,4454.1,Taxation Part II,,,3.00,11 ,45 , 4-Sep-2013, 17-Dec-13,0830,0945,MW,SB,160,Karen Touche Lightstone
201420,20036,ACCT,4454.2,Taxation Part II,,,3.00,33 ,40 , 6-Jan-2014, 26-Apr-14,0830,0945,TR,LA,176,Karen Touche Lightstone
201420,24273,ACCT,4454.2B,Taxation Part II,,,3.00,10 ,40 , 6-Jan-2014, 26-Apr-14,1730,2015,R,LA,274,F Barry Gorman
201420,20037,ACCT,4455.2,Financial Accounting Seminar,,,3.00,10 ,35 , 6-Jan-2014, 26-Apr-14,1600,1715,MW,LA,188,Heather Sceles
201420,24181,ACCT,4465.2,Acct for Financial Instruments,,,3.00,13 ,30 , 6-Jan-2014, 26-Apr-14,1000,1115,MW,AT,216,Nicholas Rowlston
201410,11861,ACCT,4470.1A,Management Accounting Seminar,,,3.00,34 ,35 , 4-Sep-2013, 17-Dec-13,1000,1115,MW,LA,178,Lawrence Corrigan
201410,14321,ACCT,4470.1B,Management Accounting Seminar,,,3.00,34 ,35 , 4-Sep-2013, 17-Dec-13,1400,1700,S,MM,TAUD,Lawrence Corrigan
201420,20197,ACCT,4470.2A,Management Accounting Seminar,,,3.00,28 ,35 , 6-Jan-2014, 26-Apr-14,1600,1715,TR,LA,274,Ray Edmonds
201420,24182,ACCT,4470.2B,Management Accounting Seminar,,,3.00,31 ,35 , 6-Jan-2014, 26-Apr-14,1300,1415,MW,LA,175,Ray Edmonds
201410,11054,ACCT,4475.1,Business Consultancy,,,3.00,0 ,0 , 4-Sep-2013, 17-Dec-13,,,,BDC,,Eric Crowell
201420,21035,ACCT,4475.2,Business Consultancy,,,3.00,1 ,0 , 6-Jan-2014, 26-Apr-14,,,,BDC,,Eric Crowell
201420,24180,ACCT,4490.2,Sp Top:Case Competition Course,,,3.00,17 ,30 , 6-Jan-2014, 26-Apr-14,1730,2015,T,AT,216,Karen Touche Lightstone
201410,11242,ACCT,5540.1A,Financial Accounting,,,3.00,37 ,40 , 4-Sep-2013, 17-Dec-13,1730,2015,T,LA,188,Xiaofei Song
201410,14645,ACCT,5540.1B,Financial Accounting,,,3.00,26 ,35 , 4-Sep-2013, 17-Dec-13,1600,1715,TR,LA,175,Xiaofei Song
201420,20585,ACCT,5548.2A,Managerial Accounting,,,3.00,25 ,40 , 6-Jan-2014, 26-Apr-14,1430,1545,TR,LA,181,Charles Baxter
201420,24272,ACCT,5548.2B,Managerial Accounting,,,3.00,31 ,40 , 6-Jan-2014, 26-Apr-14,1730,2015,T,LA,274,Charles Baxter
201410,13842,ACCT,6626.1BC,Mgt Info Sys- Strategy & Pract,,,3.00,32 ,45 , 14-Sep-2013, 16-Nov-13,0830,1630,S,LA,188,David Bateman
201410,12403,ACCT,6626.1CM,Mgt Info Sys- Strategy & Pract,,,3.00,34 ,45 , 13-Sep-2013, 15-Nov-13,0830,1630,F,LA,179,David Bateman
201410,13728,ACCT,6650.1BC,Integrative Managerial Acct I,,,3.00,38 ,45 , 27-Sep-2013, 29-Nov-13,0830,1630,F,LA,179,Louis Beaubien
201410,10582,ACCT,6650.1CM,Integrative Managerial Acct I,,,3.00,38 ,45 , 28-Sep-2013, 30-Nov-13,0830,1630,S,SB,260,Louis Beaubien
201420,23823,ACCT,6652.2BC,Integrative Managerial Acc II,,,3.00,36 ,45 , 18-Jan-2014, 8-Mar-14,0830,1630,S,SB,165,Daphne Rixon
201420,21954,ACCT,6652.2CM,Integrative Managerial Acc II,,,3.00,39 ,45 , 17-Jan-2014, 7-Mar-14,0830,1630,F,SB,260,Daphne Rixon
201420,21078,ACCT,6653.2,Taxation,,,3.00,0 ,15 , 6-Jan-2014, 26-Apr-14,0830,0945,TR,LA,176,Karen Touche Lightstone
201410,10290,ACST,1000.1,Making Sense of Atlantic Can,,,3.00,61 ,75 , 4-Sep-2013, 17-Dec-13,1000,1115,TR,LA,187,Peter Twohig
201420,22868,ACST,1000.2,Making Sense of Atlantic Canad,,,3.00,72 ,75 , 6-Jan-2014, 26-Apr-14,1000,1115,MW,AT,101,Richard Field
201410,14577,ACST,1203.1,Scottish Gaelic-Introductory I,E2,,3.00,4 ,20 , 4-Sep-2013, 17-Dec-13,1130,1245,MW,MM,211,Joseph Murphy
201420,24193,ACST,1204.2,Scottish Gaelic Intro II,D7,,3.00,2 ,20 , 6-Jan-2014, 26-Apr-14,1130,1245,MW,MM,224,Joseph Murphy
201410,14429,ACST,2311.1,Inheriting Atlantic Canada,,,3.00,35 ,45 , 4-Sep-2013, 17-Dec-13,1000,1115,MW,LA,187,Richard Field
201410,14560,ACST,2340.1XX,History of Atlantic Provinces,G1,,3.00,6 ,30 , 4-Sep-2013, 17-Dec-13,1130,1245,TR,MM,227,John Reid
201420,24170,ACST,2340.2YY,History of Atlantic Provinces,B6,,3.00,6 ,30 , 6-Jan-2014, 26-Apr-14,1130,1245,TR,MM,227,John Reid
201410,14430,ACST,2826.1,Sp Top:Contemp Atlantic Litera,,,3.00,8 ,45 , 4-Sep-2013, 17-Dec-13,1430,1659,W,ME,107,Alexander MacLeod
201420,23765,ACST,2830.2,Sp Top: Shipbuilding Past,G8,,3.00,15 ,45 , 6-Jan-2014, 26-Apr-14,1600,1829,R,LA,281,Dan Conlin
201420,24018,ACST,3312.2,Living in Atlantic Canada,,,3.00,17 ,20 , 6-Jan-2014, 26-Apr-14,1300,1415,MW,ME,111,Richard Field
201410,14431,ACST,4411.1,Atlantic Canada Seminar I,,,3.00,8 ,20 , 4-Sep-2013, 17-Dec-13,1430,1659,M,LA,269,Peter Twohig
201420,24178,ACST,4565.2,Scottish Migration,B2,,3.00,0 ,15 , 6-Jan-2014, 26-Apr-14,1300,1530,R,MN,219,Michael Vance
201410,12210,ACST,5991.1,Research Methods,,,3.00,3 ,8 , 4-Sep-2013, 17-Dec-13,1900,2130,W,MM,326,Heather MacLeod
201410,14432,ACST,6622.1,Material Cultures of Atl. CA,,,3.00,2 ,17 , 4-Sep-2013, 17-Dec-13,1300,1415,MW,ME,111,Richard Field
201420,24021,ACST,6623.2,Cultural Studies:Theory & Meth,,,3.00,1 ,20 , 6-Jan-2014, 26-Apr-14,1600,1829,W,SB,159,Jennifer Vanderburgh
201420,24019,ACST,6631.2,Enviro Hist of Atla Canada,,,3.00,2 ,20 , 6-Jan-2014, 26-Apr-14,1900,2129,T,SB,152,Heather MacLeod
201420,24020,ACST,6663.2,The Atlantic Region Since 1870,D4,,3.00,3 ,12 , 6-Jan-2014, 26-Apr-14,1430,1700,M,AT,306,Peter Twohig
201410,10305,ACST,6690.1XX,Thesis Research,,,3.00,6 ,8 , 4-Sep-2013, 17-Dec-13,,,,,,Peter Twohig
201420,21545,ACST,6690.2YY,Thesis Research,,,3.00,6 ,8 , 6-Jan-2014, 26-Apr-14,,,,,,Peter Twohig
201410,10849,ANTH,1202.1A,Intro to Soci-Cultural Anthrop,,,3.00,155 ,200 , 4-Sep-2013, 17-Dec-13,1430,1545,MW,MM,TAUD,Martin Zelenietz
201410,13448,ANTH,1202.1B,Intro to Soci-Cultural Anthrop,,,3.00,11 ,30 , 4-Sep-2013, 17-Dec-13,1130,1245,MW,LA,271,Martin Zelenietz
201420,20823,ANTH,1202.2,Intro to Soci-Cultural Anthrop,,,3.00,216 ,220 , 6-Jan-2014, 26-Apr-14,1130,1245,TR,LA,170,Rylan Higgins
201410,13449,ANTH,1271.1A1,Intro to Archaeology,F5,,3.00,131 ,170 , 4-Sep-2013, 17-Dec-13,0830,0945,TR,MM,TAUD,Jonathan Fowler
201410,14584,ANTH,1271.1A2,Intro to Archaeology,F5,,3.00,11 ,30 , 4-Sep-2013, 17-Dec-13,0830,0945,TR,MM,TAUD,Jonathan Fowler
201410,10850,ANTH,1280.1,Intro to Biological Anthro,,,3.00,83 ,175 , 4-Sep-2013, 17-Dec-13,1130,1245,TR,LA,170,Paul Erickson
201420,22872,ANTH,1290.2,Intro to Human Communication,,,3.00,175 ,175 , 6-Jan-2014, 26-Apr-14,1300,1415,MW,MM,TAUD,Eric Henry
201410,13003,ANTH,2282.1,Introduction to Forensic Anth,,,3.00,103 ,175 , 4-Sep-2013, 17-Dec-13,1300,1415,TR,MM,TAUD,Tanya Peckmann
201420,23683,ANTH,2301.2,Anth of Children & Childhood,,,3.00,32 ,30 , 6-Jan-2014, 26-Apr-14,1430,1545,TR,LA,274,Rylan Higgins
201420,24098,ANTH,2311.2,Ethnology: Melanesia,,,3.00,52 ,50 , 6-Jan-2014, 26-Apr-14,1300,1415,TR,ME,105,Martin Zelenietz
201420,24099,ANTH,2326.2,Contemporary East Asia,,,3.00,39 ,30 , 6-Jan-2014, 26-Apr-14,1000,1115,TR,MM,223,Eric Henry
201410,14477,ANTH,2392.1,"Language, Culture & Society",B7,,3.00,24 ,30 , 4-Sep-2013, 17-Dec-13,1000,1115,MW,LA,282,Eric Henry
201410,13978,ANTH,2401.1,Anthropology of Work,,,3.00,22 ,30 , 4-Sep-2013, 17-Dec-13,1000,1115,MW,MM,209,Rylan Higgins
201410,14478,ANTH,3201.1,Anthropology of Food,,,3.00,18 ,20 , 4-Sep-2013, 17-Dec-13,1430,1545,MW,B,201,Rylan Higgins
201410,13453,ANTH,3301.1,Nature of Culture,,,3.00,28 ,30 , 4-Sep-2013, 17-Dec-13,1130,1245,MW,MM,209,Rylan Higgins
201410,13979,ANTH,3334.1,Warfare and Aggression,,,3.00,29 ,30 , 4-Sep-2013, 17-Dec-13,1300,1415,TR,LA,178,Martin Zelenietz
201420,24149,ANTH,3375.2,World Prehistory,,,3.00,34 ,30 , 6-Jan-2014, 26-Apr-14,1300,1415,TR,LA,177,Jonathan Fowler
201420,24100,ANTH,3376.2,Archaeology of Death,,,3.00,31 ,30 , 6-Jan-2014, 26-Apr-14,1130,1245,MW,LA,282,Glenn Arseneau
201420,23687,ANTH,3382.2,Paleoanthropology,,,3.00,23 ,24 , 6-Jan-2014, 26-Apr-14,0830,0945,MW,MM,226,Glenn Arseneau
201410,10860,ANTH,3471.1,Forensic Skeletal Ident,,,3.00,7 ,20 , 4-Sep-2013, 17-Dec-13,1430,1700,W,MM,226,Tanya Peckmann
201420,20839,ANTH,3472.2,Forensic Skeletal Analysis,,,3.00,4 ,20 , 6-Jan-2014, 26-Apr-14,1430,1700,W,MM,226,Tanya Peckmann
201410,14112,ANTH,3473.1,Forensic Facial Anatomy,,,3.00,9 ,20 , 4-Sep-2013, 17-Dec-13,1430,1700,T,MM,226,Tanya Peckmann
201410,14479,ANTH,3571.1,Archaeological Mysteries,,,3.00,24 ,30 , 4-Sep-2013, 17-Dec-13,0900,1129,F,MM,223,Jonathan Fowler
201410,14480,ANTH,3835.1,SpTop: Signs & Symbols,,,3.00,22 ,20 , 4-Sep-2013, 17-Dec-13,1300,1415,MW,LA,280,Eric Henry
201420,24101,ANTH,3836.2,SpTop:Intro Material Culture,,,3.00,18 ,20 , 6-Jan-2014, 26-Apr-14,1000,1115,TR,MS,228,Jonathan Fowler
201420,22874,ANTH,4452.2,Anthro Theory after 1900,,,3.00,10 ,10 , 6-Jan-2014, 26-Apr-14,1430,1545,MW,SB,152,Paul Erickson
201420,23688,ANTH,4491.2,Ethnography Of Communication,A0,,3.00,8 ,15 , 6-Jan-2014, 26-Apr-14,1000,1115,MW,LA,280,Eric Henry
201410,11044,ANTH,4501.1,Honours Thesis Research,,,3.00,7 ,10 , 4-Sep-2013, 17-Dec-13,1600,1715,TR,MS,214,Paul Erickson
201420,21024,ANTH,4502.2,Honours Thesis Writing,,,3.00,7 ,10 , 6-Jan-2014, 26-Apr-14,1600,1715,TR,MS,214,Paul Erickson
201410,14481,ANTH,4827.1,SpTop: Advanced Landscape,,,3.00,8 ,0 , 4-Sep-2013, 17-Dec-13,1430,1659,W,MS,228,Jonathan Fowler
201420,24102,ANTH,4828.2,SpTop:Adv Sem Anthro of War,,,3.00,7 ,0 , 6-Jan-2014, 26-Apr-14,1000,1115,TR,MS,214,Martin Zelenietz
201410,11950,APSC,6600.AXX,Graduate Seminar,,,3.00,15 ,12 , 4-Sep-2013, 17-Dec-13,1430,1729,W,MM,209,Zhongmin Dong
